text,label
"This movie was amazing! I loved the plot and characters.",1
"The acting was superb, and the cinematography was breathtaking.",1
"I found the book to be quite boring and unengaging.",0
"The restaurant had excellent service and delicious food.",1
"The software was buggy and crashed frequently.",0
"I highly recommend this product to anyone looking for a reliable solution.",1
"The hotel room was dirty, and the staff was unhelpful.",0
"I thoroughly enjoyed reading this novel from start to finish.",1
"The customer support was unresponsive and disappointing.",0
"This is one of the best video games I've ever played!",1
